1.833223253488540649e-01 6.968969851732254028e-02 6.469390392303466797e-01 8.754677176475524902e-01 2.503741383552551270e-01 3.494576811790466309e-01 9.256369471549987793e-01 9.540389776229858398e-01 9.984188079833984375e-01 4.047548770904541016e-01 4.066428542137145996e-01 6.961311697959899902e-01 6.410251259803771973e-01
4.053322970867156982e-02 5.163504276424646378e-03 7.123536467552185059e-01 4.886772334575653076e-01 6.790561676025390625e-01 8.101147413253784180e-01 9.942407608032226562e-01 9.954897761344909668e-01 9.999620914459228516e-01 3.482854366302490234e-01 3.363970816135406494e-01 6.696003079414367676e-01 6.184470057487487793e-01
2.305513992905616760e-02 5.905558168888092041e-02 2.632541954517364502e-01 3.540802896022796631e-01 2.996704578399658203e-01 4.407361149787902832e-01 8.001344799995422363e-01 7.497549057006835938e-01 9.999588727951049805e-01 4.208553433418273926e-01 3.075648844242095947e-01 7.220694422721862793e-01 6.380587220191955566e-01
3.941199183464050293e-02 3.442335426807403564e-01 1.320898979902267456e-01 5.515605807304382324e-01 4.312317371368408203e-01 6.191573739051818848e-01 8.767760992050170898e-01 8.175635933876037598e-01 9.999736547470092773e-01 4.581591784954071045e-01 2.604414224624633789e-01 7.209913134574890137e-01 6.943640112876892090e-01
7.020744960755109787e-03 1.124605387449264526e-01 4.738812521100044250e-02 8.349415659904479980e-01 3.336387872695922852e-01 5.033668279647827148e-01 9.251646995544433594e-01 9.331871867179870605e-01 9.998723268508911133e-01 3.804453015327453613e-01 2.594745159149169922e-01 6.317030191421508789e-01 6.075294017791748047e-01
7.441414594650268555e-01 1.430231630802154541e-01 4.208940663374960423e-04 9.956888556480407715e-01 7.918365001678466797e-01 9.609103202819824219e-01 6.986791640520095825e-02 2.130339741706848145e-01 9.978719949722290039e-01 5.309926271438598633e-01 2.519848644733428955e-01 5.603758692741394043e-01 8.445274233818054199e-01
9.953109622001647949e-01 4.733057618141174316e-01 5.184854671824723482e-06 9.986548423767089844e-01 8.286821842193603516e-01 9.543318152427673340e-01 6.308258045464754105e-03 2.285397425293922424e-02 9.970442652702331543e-01 5.233027338981628418e-01 2.385668307542800903e-01 5.425386428833007812e-01 8.444354534149169922e-01
9.849597811698913574e-01 1.063639596104621887e-01 3.037425130969495513e-06 9.998084902763366699e-01 9.744375348091125488e-01 9.917427897453308105e-01 1.345898723229765892e-03 9.920393116772174835e-03 9.698642492294311523e-01 5.917232036590576172e-01 1.810936629772186279e-01 4.708168506622314453e-01 8.787862658500671387e-01
8.028747439384460449e-01 3.245391324162483215e-02 5.845480700372718275e-05 9.999610185623168945e-01 9.898775219917297363e-01 9.913341403007507324e-01 1.846385747194290161e-01 6.927521228790283203e-01 9.951188564300537109e-01 3.961393237113952637e-01 3.484125137329101562e-01 6.962262988090515137e-01 8.791825771331787109e-01
5.096298456192016602e-01 1.429458707571029663e-02 9.419987909495830536e-04 9.998070597648620605e-01 9.772180914878845215e-01 9.869618415832519531e-01 4.895218014717102051e-01 8.635061383247375488e-01 9.995600581169128418e-01 3.391698598861694336e-01 3.220570981502532959e-01 7.269389629364013672e-01 8.300887346267700195e-01
